%Vec Object: 12 MPI processes
%  type: mpi
Vec_0x558036bba930_1 = [
1.3614733071958542e-06 + 8.7421183039699795e-07i
6.8073671616201992e-07 + 4.3710595537134175e-07i
8.6400425432964244e-07 + 5.5478336347555920e-07i
4.3200198527560780e-07 + 2.7739159062968553e-07i
3.9068199905311103e-07 + 2.5085972944915201e-07i
1.9534113280304145e-07 + 1.2542995030236605e-07i
1.3758709579535842e-06 + 8.8345666579396276e-07i
6.8793540952697882e-07 + 4.4172828830274653e-07i
1.0680953000944288e-06 + 6.8583169600082496e-07i
5.3404767744263235e-07 + 3.4291586559120008e-07i
6.5698155144054206e-07 + 4.2185259276571944e-07i
3.2849077324353536e-07 + 2.1092629479252572e-07i
1.1529989877813282e-06 + 7.4034896624617635e-07i
5.7649952256584445e-07 + 3.7017450153562219e-07i
8.7191975795146772e-07 + 5.5986596544298184e-07i
4.3595981466343205e-07 + 2.7993294142609153e-07i
9.9038278039090092e-07 + 6.3593192658507933e-07i
4.9519141700572587e-07 + 3.1796598050760801e-07i
-1.3430686296646056e-07 - 8.6239405420740583e-08i
-6.7153261470227865e-08 - 4.3119593543795673e-08i
-4.7445568529829392e-07 - 3.0465141761843042e-07i
-2.3722787883757648e-07 - 1.5232573204606635e-07i
-9.0122918544789063e-07 - 5.7868576023742882e-07i
-4.5061459128948157e-07 - 2.8934287919763490e-07i
-1.1829445002142417e-06 - 7.5957719576620331e-07i
-5.9147221680050424e-07 - 3.7978857649668277e-07i
-1.2674361795849620e-06 - 8.1382991250007960e-07i
-6.3371824736916775e-07 - 4.0691505743116683e-07i
-3.0847368121136206e-07 - 1.9807317562215012e-07i
-1.5423675000023653e-07 - 9.9036529632665400e-08i
-6.8604773266405955e-07 - 4.4051619737387462e-07i
-3.4302392023988433e-07 - 2.2025813330155902e-07i
-1.0810485853319654e-06 - 6.9414909387951512e-07i
-5.4052424593397275e-07 - 3.4707451693279558e-07i
-1.2416700694687538e-06 - 7.9728530735219909e-07i
-6.2083510965495291e-07 - 3.9864270178314007e-07i
-5.5942348696142237e-07 - 3.5920985591034332e-07i
-2.7971172166881838e-07 - 1.7960491394959622e-07i
-9.2117004792579636e-07 - 5.9148993186118599e-07i
-4.6058501682411562e-07 - 2.9574496134672708e-07i
-1.1715641851721242e-06 - 7.5226981339529753e-07i
-5.8578210255751110e-07 - 3.7613491310038743e-07i
-8.0296798860111070e-07 - 5.1559153701733018e-07i
-4.0148403726237004e-07 - 2.5779579609475126e-07i
-1.0618203681998328e-06 - 6.8180251697234596e-07i
-5.3091014141011272e-07 - 3.4090123107474008e-07i
-9.6311775629943967e-07 - 6.1842485796256331e-07i
-4.8155888878407312e-07 - 3.0921243580967418e-07i
-5.2116770651773570e-07 - 3.3464554336148314e-07i
-5.2116775771203645e-07 - 3.3464557623370522e-07i
-5.6406060023346858e-07 - 3.6218737978829281e-07i
-5.6406057397890279e-07 - 3.6218736293003710e-07i
-6.0859540071844617e-07 - 3.9078349639414850e-07i
-6.0859562311601544e-07 - 3.9078363919722191e-07i
-6.3260097151654982e-07 - 4.0619764654766870e-07i
-6.3260090144098872e-07 - 4.0619760155163582e-07i
-6.3771542426320320e-07 - 4.0948167354511315e-07i
-6.3771518308546601e-07 - 4.0948151868314524e-07i
-5.9574286511864753e-07 - 3.8253079058451931e-07i
-5.9574286792575432e-07 - 3.8253079238697366e-07i
-6.3344355918745494e-07 - 4.0673867816846413e-07i
-6.3344355844001284e-07 - 4.0673867768851594e-07i
-6.5271356782900226e-07 - 4.1911208970525361e-07i
-6.5271338195658719e-07 - 4.1911197035522476e-07i
-6.4914426056474577e-07 - 4.1682021176665981e-07i
-6.4914415886924527e-07 - 4.1682014646724158e-07i
-6.9565415130086418e-07 - 4.4668454806844768e-07i
-6.9565398561848960e-07 - 4.4668444168258377e-07i
-7.1199872359501920e-07 - 4.5717951582638949e-07i
-7.1199886167719767e-07 - 4.5717960448993912e-07i
-6.8978319270218900e-07 - 4.4291476320698902e-07i
-6.8978321088361527e-07 - 4.4291477488140951e-07i
-7.8069460654797814e-07 - 5.0128963775066820e-07i
-7.8069495384955499e-07 - 5.0128986075550482e-07i
-7.6050457110398380e-07 - 4.8832547036816722e-07i
-7.6050463213269304e-07 - 4.8832550955513612e-07i
-8.2761241121378100e-07 - 5.3141589852882075e-07i
-8.2761303769189589e-07 - 5.3141630079493688e-07i
-6.3771542426325889e-07 - 4.0948167354514772e-07i
-2.4117771356097413e-13 - 1.5486195226622393e-13i
