#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,61
#number of ports,3
#S-port 1,net1,not renormalized
#S-port 2,net2,not renormalized
#S-port 3,net3,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(3;1)),deg(S(3;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2)),dB(S(3;2)),deg(S(3;2)),dB(S(1;3)),deg(S(1;3)),dB(S(2;3)),deg(S(2;3)),dB(S(3;3)),deg(S(3;3))
12.6,-12.5980387271823,53.8780155296475,-3.25553470421251,20.1082589291013,-3.25623327336795,-159.905174919057,-3.25553470421251,20.1082589291013,-7.31952057499388,46.1033600722723,-4.65875196478513,25.8232077141271,-3.25623327336795,-159.905174919057,-4.65875196478513,25.8232077141271,-7.31774057415305,46.0721578120868
12.7,-12.4582362514541,44.0001227246865,-3.26381707875481,10.9578612112723,-3.2644979513484,-169.05516348341,-3.26381707875481,10.9578612112723,-7.36321672262257,37.1322371116987,-4.62390139986334,16.7156873985988,-3.2644979513484,-169.05516348341,-4.62390139986334,16.7156873985988,-7.36146762550859,37.1018970225513
12.8,-12.3201578811957,34.168239447917,-3.27227926948841,1.84906941290716,-3.2729425776795,-178.163562667965,-3.27227926948841,1.84906941290716,-7.40784986626248,28.1931318415539,-4.58884864229617,7.64776499559271,-3.2729425776795,-178.163562667965,-4.58884864229617,7.64776499559271,-7.40613165533553,28.1636235574821
12.9,-12.1837318243839,24.3805228609287,-3.28092532276654,-7.21979615424495,-3.28157133667595,172.767948298793,-3.28092532276654,-7.21979615424495,-7.45344495069964,19.2841347172669,-4.55359653531304,-1.38228379129644,-3.28157133667595,172.767948298793,-4.55359653531304,-1.38228379129644,-7.45175725556195,19.2554278751974
13,-12.0488927699906,14.6351984040069,-3.28975923959025,-16.2503277698383,-3.29038837261563,163.737777713098,-3.28975923959025,-16.2503277698383,-7.5000287696531,10.4033844404871,-4.51814772030906,-10.3761008592155,-3.29038837261563,163.737777713098,-4.51814772030906,-10.3761008592155,-7.49837084041785,10.3754488287389
13.1,-11.9155811994239,4.93055340984347,-3.29878498104674,-25.2440367085871,-3.29939779150638,154.744415004639,-3.29878498104674,-25.2440367085871,-7.5476300798071,1.54905931017509,-4.4825046349244,-19.3352525787154,-3.29939779150638,154.744415004639,-4.4825046349244,-19.3352525787154,-7.54600076867842,1.52186506415595
13.2,-11.7837426953307,-4.73506792628024,-3.30800647957056,-34.2023591017657,-3.30860366836616,145.786424883163,-3.30800647957056,-34.2023591017657,-7.59627968900745,-7.28063067120551,-4.44666952120413,-28.2612361821163,-3.30860366836616,145.786424883163,-4.44666952120413,-28.2612361821163,-7.59467744129925,-7.30711283067635
13.3,-11.653327256096,-14.3632682973267,-3.31742765598774,-43.1266613058731,-3.31801006008145,136.862441973463,-3.31742765598774,-43.1266613058731,-7.64601051508656,-16.0874509725338,-4.41064444423057,-37.1554857170156,-3.31801006008145,136.862441973463,-4.41064444423057,-37.1554857170156,-7.64443337076065,-16.1132494630142
13.4,-11.5242886249987,-23.9555998469311,-3.32705244210525,-52.0182448209057,-3.32762102369255,127.971165895963,-3.32705244210525,-52.0182448209057,-7.69685761237298,-24.8731490304446,-4.37443132134475,-46.0193776078357,-3.32762102369255,127.971165895963,-4.37443132134475,-46.0193776078357,-7.69530321892796,-24.8982910999379
13.5,-11.3965836437877,-33.5135656479483,-3.33688480844137,-60.8783507952269,-3.33744063983117,119.111356755856,-3.33688480844137,-60.8783507952269,-7.74885816365515,-33.6394601159477,-4.33803196176707,-54.8542358634211,-3.33744063983117,119.111356755856,-4.33803196176707,-54.8542358634211,-7.74732380108635,-33.6639715101136
13.6,-11.270171640146,-43.0386202140969,-3.346928796497,-69.7081641494937,-3.34747304081184,110.281831008142,-3.346928796497,-69.7081641494937,-7.80205143608861,-42.3881126297158,-4.30144811611716,-63.6613369652292,-3.34747304081184,110.281831008142,-4.30144811611716,-63.6613369652292,-7.80053405427881,-42.4120172426788
13.7,-11.1450138584341,-52.5321691723705,-3.35718855481241,-78.5088173481364,-3.35772244274664,101.481457670281,-3.35718855481241,-78.5088173481364,-7.85647870055628,-51.1208328947012,-4.26468153505875,-72.4419144676701,-3.35772244274664,101.481457670281,-4.26468153505875,-72.4419144676701,-7.85497496921353,-51.1441524121258
13.8,-11.0210729422378,-61.9955682348023,-3.36766837790371,-87.2813938443937,-3.36819318088599,92.7091548567551,-3.36766837790371,-87.2813938443937,-7.91218311470003,-59.8393495288009,-4.22773403598486,-81.1971633412892,-3.36819318088599,92.7091548567551,-4.22773403598486,-81.1971633412892,-7.91068948577369,-59.8621030719124
13.9,-10.8983124764628,-71.4301216141443,-3.37837274702776,-96.0269312221717,-3.37888974728752,83.9638866118438,-3.37837274702776,-96.0269312221717,-7.96920957090674,-68.5453974929037,-4.19060757644678,-89.9282440897914,-3.37888974728752,83.9638866118438,-4.19060757644678,-89.9282440897914,-7.96772235271746,-68.5676012772166
14,-10.7766965953034,-80.8370800345824,-3.38930637165145,-104.746424056573,-3.38981682970148,75.2446600212746,-3.38930637165145,-104.746424056573,-8.02760451146112,-77.2407219256496,-4.15330433270053,-98.6362866700697,-3.38981682970148,75.2446600212746,-4.15330433270053,-98.6362866700697,-8.02611995449575,-77.2623889365878
14.1,-10.6561896611291,-90.2176384903368,-3.40047423040183,-113.440826513633,-3.40097935069533,66.5505225794298,-3.40047423040183,-113.440826513633,-8.08741571395651,-85.927081892425,-4.11582678177012,-107.322394252036,-3.40097935069533,66.5505225794298,-4.11582678177012,-107.322394252036,-8.08593010631061,-85.9482215993954
14.2,-10.5367560175937,-99.5729339055119,-3.4118816102538,-122.111054709016,-3.41238250572629,57.8805597963082,-3.4118816102538,-122.111054709016,-8.14869205093502,-94.6062541941211,-4.0781777850401,-115.987646851334,-3.41238250572629,57.8805597963082,-4.0781777850401,-115.987646851334,-8.14720182272766,-94.6268723059082
14.3,-10.4183598187493,-108.904042845549,-3.42353414271321,-130.757988844851,-3.42403179906773,49.233893023956,-3.42353414271321,-130.757988844851,-8.21148322850029,-103.280037400783,-4.04036067153358,-124.633104877783,-3.42403179906773,49.233893023956,-4.04036067153358,-124.633104877783,-8.20998506334958,-103.300135675834
14.4,-10.3009649337357,-118.211979425348,-3.43543783578366,-139.382475143897,-3.43593307642319,40.6096774845085,-3.43543783578366,-139.382475143897,-8.27583950934227,-111.950256296781,-4.00237931894356,-133.259812645494,-3.43593307642319,40.6096774845085,-4.00237931894356,-133.259812645494,-8.27433046092773,-111.969832418574
14.5,-10.184534925262,-127.497693551022,-3.44759910062419,-147.985327599948,-3.44809255315563,32.0071004819536,-3.44759910062419,-147.985327599948,-8.34181142596876,-120.618766949071,-3.96423823059389,-141.86880189845,-3.44809255315563,32.0071004819536,-3.96423823059389,-141.86880189845,-8.34028903753445,-120.637814475618
14.6,-10.0690330978929,-136.762069620666,-3.46002477187803,-156.567329563544,-3.46051683714832,23.4253797796944,-3.46002477187803,-156.567329563544,-8.40944949043418,-129.287462637221,-3.92594260668431,-150.461095413653,-3.46051683714832,23.4253797796944,-3.92594260668431,-150.461095413653,-8.40791191491317,-129.305971033804
14.7,-9.95442261058203,-146.005925797025,-3.47272212088458,-165.129235182205,-3.47321294551499,14.8637621248546,-3.47272212088458,-165.129235182205,-8.47880390667754,-137.958280917411,-3.88749840850814,-159.037710756085,-3.47321294551499,14.8637621248546,-3.88749840850814,-159.037710756085,-8.47725002432015,-137.976235680135
14.8,-9.84066664627215,-155.230013948336,-3.48569886112879,-173.67177071451,-3.48618831441265,6.32152190291196,-3.48569886112879,-173.67177071451,-8.5499242914647,-146.633212130805,-3.84891241460307,-167.599664270151,-3.48618831441265,6.32152190291196,-3.84891241460307,-167.599664270151,-8.54835382292634,-146.650595006347
14.9,-9.72772862995028,-164.435020335868,-3.4989631455481,177.804364262717,-3.49945080160202,-2.20204009748886,-3.4989631455481,177.804364262717,-8.62285940931562,-155.31430971503,-3.81019226853117,-176.147975411977,-3.49945080160202,-2.20204009748886,-3.81019226853117,-176.147975411977,-8.62127302063721,-155.331099020874
15,-9.61557248555449,-173.621567107669,-3.51252355553778,169.298495734336,-3.51300868142067,-10.7075978265206,-3.51252355553778,169.298495734336,-8.69765692562464,-164.003702735237,-3.77134651851776,175.316328455663,-3.51300868142067,-10.7075978265206,-3.77134651851776,175.316328455663,-8.69605632251323,-164.019873781508
15.1,-9.50416292156176,177.209785363014,-3.52638908172297,160.809974193572,-3.52687063207397,-19.1958010412065,-3.52638908172297,160.809974193572,-8.77436318058154,-172.70361112594,-3.73238465026275,166.792206656732,-3.52687063207397,-19.1958010412065,-3.73238465026275,166.792206656732,-8.77275118915677,-172.719136736421
15.2,-9.39346573566919,168.05853527424,-3.54056909664248,152.338173633072,-3.54104571507439,-27.6672763194312,-3.54056909664248,152.338173633072,-8.85302298415668,178.583635769675,-3.69331711561283,158.27859900222,-3.54104571507439,-27.6672763194312,-3.69331711561283,158.27859900222,-8.85140361565466,178.568784646212
15.3,-9.28344813170066,158.924235318618,-3.55507331930855,143.882490549741,-3.55554334606009,-36.1226280453444,-3.55507331930855,143.882490549741,-8.93367942816345,169.855576651208,-3.65415536223821,149.774418570361,-3.55554334606009,-36.1226280453444,-3.65415536223821,149.774418570361,-8.93205792617337,169.841430261257
15.4,-9.1740790534342,149.806487708991,-3.56991176987642,135.442342904165,-3.57037325312852,-44.562439411106,-3.56991176987642,135.442342904165,-9.01637370322537,161.109590821672,-3.61491187546888,141.278543171659,-3.57037325312852,-44.562439411106,-3.61491187546888,141.278543171659,-9.01475657458699,161.096179914876
15.5,-9.0653295868078,140.704938141932,-3.58509470427495,127.01716884807,-3.58554540379549,-52.9872735687084,-3.58509470427495,127.01716884807,-9.10114488395445,152.342864733098,-3.5756002661919,132.789805064897,-3.58554540379549,-52.9872735687084,-3.5756002661919,132.789805064897,-9.0995399226875,152.330220047464
15.6,-8.95717376766975,131.619267629639,-3.60063245681572,118.606424205223,-3.60106976898833,-61.3976756370309,-3.60063245681572,118.606424205223,-9.18802951342209,143.552351116256,-3.53623559957173,124.306977911644,-3.60106976898833,-61.3976756370309,-3.53623559957173,124.306977911644,-9.18644585949106,143.540504032093
15.7,-8.84959388082703,122.549171505082,-3.61653354775913,110.209562024368,-3.61695279054945,-69.7941864700168,-3.61653354775913,110.209562024368,-9.27705817399298,134.734729240056,-3.496839684611,115.828747317731,-3.61695279054945,-69.7941864700168,-3.496839684611,115.828747317731,-9.27550653011531,134.723731574039
15.8,-8.74246499847138,113.495072825106,-3.63283592533211,101.826264053822,-3.63323985615222,-78.1771671134793,-3.63283592533211,101.826264053822,-9.36827167037348,125.88602502432,-3.45740642884199,107.353775319955,-3.63323985615222,-78.1771671134793,-3.45740642884199,107.353775319955,-9.36677153698061,125.875918603855
15.9,-8.63599217138604,104.454987896318,-3.64949082940182,93.4557508430546,-3.64987400228649,-86.5473669023302,-3.64949082940182,93.4557508430546,-9.4617269248538,117.003079994781,-3.41797616656191,98.8805865851425,-3.64987400228649,-86.5473669023302,-3.41797616656191,98.8805865851425,-9.46025914931256,116.993712105789
16,-8.52998662948665,95.4302108581943,-3.66655727475084,85.0976747227305,-3.66691640082761,-94.9051108683556,-3.66655727475084,85.0976747227305,-9.55738141330979,108.080253022461,-3.37856995400267,90.407414209432,-3.66691640082761,-94.9051108683556,-3.37856995400267,90.407414209432,-9.55598496718906,108.071771892444
