#./WR90/straight/straight.proj 12
# name,status,frequency,portOut,portIn,testVariable,testFunction,[equal:expectedValue,]foundValue,[equal:error,tolerance | lessthan:threshold | greaterthan:threshold
straight_3_8_result,pass,11000000000,1,1,magS(dB),lessthan,-112.293853758734,-110,
straight_3_21_result,pass,11000000000,1,2,argS(deg),equal,18.9349879099391,18.9351103086115,6.4641537127691e-06,1e-05,
straight_3_11_result,pass,11000000000,2,1,argS(deg),equal,18.9349879099391,18.9351103086115,6.4641537127691e-06,1e-05,
straight_1_3_result,pass,9000000000,2,1,argS(deg),equal,-20.753057470156,-20.75303995489,8.43984845472026e-07,1e-05,
straight_1_13_result,pass,9000000000,1,2,argS(deg),equal,-20.753057470156,-20.75303995489,8.43984845472026e-07,1e-05,
straight_2_17_result,pass,9999999999,1,2,argS(deg),equal,172.884555839391,172.8846080307,3.01885317380064e-07,1e-05,
straight_2_7_result,pass,9999999999,2,1,argS(deg),equal,172.884555839391,172.8846080307,3.01885317380064e-07,1e-05,
straight_3_20_result,pass,11000000000,1,2,magS(dB),lessthan,-1.11334055476695e-08,0,
straight_3_20a_result,pass,11000000000,1,2,magS(dB),greaterthan,-1.11334055476695e-08,-1e-05,
straight_3_10a_result,pass,11000000000,2,1,magS(dB),greaterthan,-1.11334055476695e-08,-1e-05,
straight_3_10_result,pass,11000000000,2,1,magS(dB),lessthan,-1.11334055476695e-08,0,
straight_2_16_result,pass,9999999999,1,2,magS(dB),lessthan,-5.78502940360366e-09,0,
straight_2_16a_result,pass,9999999999,1,2,magS(dB),greaterthan,-5.78502940360366e-09,-1e-05,
straight_2_6a_result,pass,9999999999,2,1,magS(dB),greaterthan,-5.78502940360366e-09,-1e-05,
straight_2_6_result,pass,9999999999,2,1,magS(dB),lessthan,-5.78502940360366e-09,0,
straight_1_12a_result,pass,9000000000,1,2,magS(dB),lessthan,-2.74303044337142e-09,0,
straight_1_12_result,pass,9000000000,1,2,magS(dB),greaterthan,-2.74303044337142e-09,-1e-06,
straight_1_2_result,pass,9000000000,2,1,magS(dB),greaterthan,-2.74303044337142e-09,-1e-06,
straight_1_2a_result,pass,9000000000,2,1,magS(dB),lessthan,-2.74303044337142e-09,0,
#./WR90/straight-rotated-x/straight-rotated.proj 12
# name,status,frequency,portOut,portIn,testVariable,testFunction,[equal:expectedValue,]foundValue,[equal:error,tolerance | lessthan:threshold | greaterthan:threshold
straight_1_14_result,pass,9000000000,2,2,magS(dB),lessthan,-131.930307466785,-110,
straight_1_0_result,pass,9000000000,1,1,magS(dB),lessthan,-131.925842604696,-110,
straight_2_18_result,pass,9999999999,2,2,magS(dB),lessthan,-121.663023844347,-110,
straight_2_4_result,pass,9999999999,1,1,magS(dB),lessthan,-121.661329386447,-110,
straight_3_22_result,pass,11000000000,2,2,magS(dB),lessthan,-112.384649415927,-110,
straight_3_8_result,pass,11000000000,1,1,magS(dB),lessthan,-112.384063724939,-110,
straight_3_21_result,pass,11000000000,1,2,argS(deg),equal,18.9349879099391,18.9351081959737,6.35258048081968e-06,1e-05,
straight_3_11_result,pass,11000000000,2,1,argS(deg),equal,18.9349879099391,18.9351081959737,6.35258048081968e-06,1e-05,
straight_1_3_result,pass,9000000000,2,1,argS(deg),equal,-20.753057470156,-20.7530403504147,8.24926222348179e-07,1e-05,
straight_1_13_result,pass,9000000000,1,2,argS(deg),equal,-20.753057470156,-20.7530403504147,8.24926222348179e-07,1e-05,
straight_2_17_result,pass,9999999999,1,2,argS(deg),equal,172.884555839391,172.884606956098,2.95669597267221e-07,1e-05,
straight_2_7_result,pass,9999999999,2,1,argS(deg),equal,172.884555839391,172.884606956098,2.95669597267221e-07,1e-05,
straight_3_20_result,pass,11000000000,1,2,magS(dB),lessthan,-1.09801228036833e-08,0,
straight_3_20a_result,pass,11000000000,1,2,magS(dB),greaterthan,-1.09801228036833e-08,-1e-05,
straight_3_10a_result,pass,11000000000,2,1,magS(dB),greaterthan,-1.09801228036833e-08,-1e-05,
straight_3_10_result,pass,11000000000,2,1,magS(dB),lessthan,-1.09801228036833e-08,0,
straight_2_16_result,pass,9999999999,1,2,magS(dB),lessthan,-5.68572585401483e-09,0,
straight_2_16a_result,pass,9999999999,1,2,magS(dB),greaterthan,-5.68572585401483e-09,-1e-05,
straight_2_6a_result,pass,9999999999,2,1,magS(dB),greaterthan,-5.68572585401483e-09,-1e-05,
straight_2_6_result,pass,9999999999,2,1,magS(dB),lessthan,-5.68572585401483e-09,0,
straight_1_12a_result,pass,9000000000,1,2,magS(dB),lessthan,-2.68798373858095e-09,0,
straight_1_12_result,pass,9000000000,1,2,magS(dB),greaterthan,-2.68798373858095e-09,-1e-06,
straight_1_2_result,pass,9000000000,2,1,magS(dB),greaterthan,-2.68798373858095e-09,-1e-06,
straight_1_2a_result,pass,9000000000,2,1,magS(dB),lessthan,-2.68798373858095e-09,0,
#./WR90/straight-rotated-y/straight-rotated.proj 12
# name,status,frequency,portOut,portIn,testVariable,testFunction,[equal:expectedValue,]foundValue,[equal:error,tolerance | lessthan:threshold | greaterthan:threshold
straight_1_14_result,pass,9000000000,2,2,magS(dB),lessthan,-131.758772789979,-110,
straight_1_0_result,pass,9000000000,1,1,magS(dB),lessthan,-131.754959920856,-110,
straight_2_18_result,pass,9999999999,2,2,magS(dB),lessthan,-121.487496766512,-110,
straight_2_4_result,pass,9999999999,1,1,magS(dB),lessthan,-121.486103108861,-110,
straight_3_22_result,pass,11000000000,2,2,magS(dB),lessthan,-112.28662118812,-110,
straight_3_8_result,pass,11000000000,1,1,magS(dB),lessthan,-112.286222162334,-110,
straight_3_21_result,pass,11000000000,1,2,argS(deg),equal,18.9349879099391,18.9351102783078,6.46255330514013e-06,1e-05,
straight_3_11_result,pass,11000000000,2,1,argS(deg),equal,18.9349879099391,18.9351102783078,6.46255330514013e-06,1e-05,
straight_1_3_result,pass,9000000000,2,1,argS(deg),equal,-20.753057470156,-20.7530400729295,8.38297032873889e-07,1e-05,
straight_1_13_result,pass,9000000000,1,2,argS(deg),equal,-20.753057470156,-20.7530400729295,8.38297032873889e-07,1e-05,
straight_2_17_result,pass,9999999999,1,2,argS(deg),equal,172.884555839391,172.88460790244,3.01143434961673e-07,1e-05,
