#Touchstone format,MA
#frequency unit,GHz
#number of frequencies,162
#number of ports,2
#S-port 1,net1,not renormalized
#S-port 2,net2,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),mag(S(1;1)),deg(S(1;1)),mag(S(2;1)),deg(S(2;1)),mag(S(1;2)),deg(S(1;2)),mag(S(2;2)),deg(S(2;2))
6,0.0353379866601401,47.7107097705189,0.999375439941924,-42.4558400077543,0.999375439941924,-42.4558400077543,0.0353383616082706,47.3669375842764
7,0.0412433078641346,40.5848409801634,0.999149164181354,-49.5392281116666,0.999149164181354,-49.5392281116666,0.0412436843477427,40.3246985382398
8,0.0471558698505622,33.4643751598858,0.998887585335347,-56.6260271355125,0.998887585335347,-56.6260271355125,0.0471562287101392,33.270442020371
9,0.0530766727353162,26.3461577035162,0.998590496341573,-63.7167163365247,0.998590496341573,-63.7167163365247,0.0530769896754485,26.2063750192169
10,0.0590066946359483,19.2281168550909,0.998257661541418,-70.8117715667587,0.998257661541418,-70.8117715667587,0.0590069448237932,19.1336337830497
11,0.0649468864145846,12.1087774297303,0.99788881935152,-77.9116648695891,0.99788881935152,-77.9116648695891,0.0649470452005732,12.0527620224016
12,0.0708981627597156,4.98701046200312,0.997483683474781,-85.0168639944615,0.997483683474781,-85.0168639944615,0.0708982064116089,4.96396204121255
13,0.0768613920663335,-2.13810130697313,0.997041944476304,-92.1278318996595,0.997041944476304,-92.1278318996595,0.0768612985523419,-2.13276991780292
14,0.0828373851352552,-9.2673402166036,0.996563271857245,-99.2450262432892,0.996563271857245,-99.2450262432892,0.0828371347799068,-9.23756598458715
15,0.0888268825656434,-16.4013995142488,0.99604731662489,-106.368898868621,0.99604731662489,-106.368898868621,0.0888264587719129,-16.3506398422394
16,0.0948305410526104,-23.540911745699,0.995493714435567,-113.499895285908,0.995493714435567,-113.499895285908,0.0948299308812393,-23.4722572761818
17,0.100848918800701,-30.6864668374541,0.994902089362232,-120.638454152656,0.994902089362232,-120.638454152656,0.100848113526198,-30.6027169877385
18,0.106882460035217,-37.8386238446391,0.994272058271444,-127.785006763155,0.994272058271444,-127.785006763155,0.106881455601732,-37.7423376660984
19,0.1129314791117,-44.9979186539004,0.993603235879131,-134.939976547306,0.993603235879131,-134.939976547306,0.11293027648795,-44.8914490967014
20,0.118996144304327,-52.1648690321103,0.992895240452909,-142.103778588233,0.992895240452909,-142.103778588233,0.118994749743703,-52.0503858738165
21,0.125076461696854,-59.3399778956566,0.992147700147067,-149.276819164572,0.992147700147067,-149.276819164572,0.125074886873747,-59.2194829028304
22,0.131172259465173,-66.5237353520579,0.99136025995069,-156.459495324009,0.99136025995069,-156.459495324009,0.131170521499081,-66.3990721344318
23,0.1372831729317,-73.7166198717242,0.990532589167717,-163.652194496052,0.990532589167717,-163.652194496052,0.137281294287394,-73.589480194878
24,0.143408630805989,-80.919098869353,0.989664389389458,-170.855294151282,0.989664389389458,-170.855294151282,0.143406639067834,-80.7910266724523
25,0.149547842939014,-88.1316288525354,0.988755402813908,-178.069161511883,0.988755402813908,-178.069161511883,0.149545770471474,-88.0040228942707
26,0.155699790058546,-95.3546552743525,0.987805420829065,174.705846676807,0.987805420829065,174.705846676807,0.155697673533243,-95.2287710928484
27,0.161863215821317,-102.588612203177,0.986814292707351,167.469384309992,0.986814292707351,167.469384309992,0.161861095641928,-102.465563874481
28,0.16803662158899,-109.833921866942,0.985781934237695,160.221116016803,0.985781934237695,160.221116016803,0.168034541195443,-109.714683939672
