#Touchstone format,MA
#frequency unit,GHz
#number of frequencies,162
#number of ports,2
#S-port 1,net1,not renormalized
#S-port 2,net2,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),mag(S(1;1)),deg(S(1;1)),mag(S(2;1)),deg(S(2;1)),mag(S(1;2)),deg(S(1;2)),mag(S(2;2)),deg(S(2;2))
6,0.045223497146203,48.2435978867472,0.998976914197245,-41.8879022021433,0.998976914197245,-41.8879022021433,0.0452238600580052,47.9724717359666
7,0.0527676605336194,41.2220034650129,0.99860684578568,-48.8764886383124,0.99860684578568,-48.8764886383124,0.0527680372393999,41.0158795903291
8,0.0603150326099078,34.2039330293612,0.998179430806382,-55.8684188357221,0.998179430806382,-55.8684188357221,0.0603153942065112,34.0492256590269
9,0.06786605119957,27.1868136382478,0.997694495466691,-62.8641621189168,0.997694495466691,-62.8641621189168,0.067866374095617,27.0741583414644
10,0.0754211360548057,20.168931386167,0.997151841820183,-69.8641844273362,0.997151841820183,-69.8641844273362,0.0754213960392831,20.0914722109124
11,0.0829806853199849,13.1490397037473,0.996551250409804,-76.8689477662408,0.996551250409804,-76.8689477662408,0.0829808582765929,13.1014998007115
12,0.0905450678396909,6.12616411390147,0.995892481618384,-83.8789096971269,0.995892481618384,-83.8789096971269,0.0905451304388038,6.10430772753363
13,0.0981146139944427,-0.900502713994955,0.995175277418707,-90.8945228087449,0.995175277418707,-90.8945228087449,0.0981145444127914,-0.900197458556965
14,0.105689605509225,-7.9316607736416,0.994399363688634,-97.9162341785783,0.994399363688634,-97.9162341785783,0.105689384101006,-7.91220847364549
15,0.113270264062562,-14.9679383755121,0.993564453118717,-104.944484823366,0.993564453118717,-104.944484823366,0.113269874030207,-14.9319805899097
16,0.120856738885614,-22.0099141975396,0.992670248797136,-111.979709145902,0.992670248797136,-111.979709145902,0.120856166863501,-21.9598084909711
17,0.128449093418485,-29.058131296302,0.991716448475123,-119.022334381363,0.991716448475123,-119.022334381363,0.128448330021209,-28.9960111156704
18,0.136047291292753,-36.1131061769543,0.990702749590421,-126.072780051109,0.990702749590421,-126.072780051109,0.136046331566829,-36.0409214105401
19,0.143651181832893,-43.1753347275797,0.989628855030149,-133.131457427896,0.989628855030149,-133.131457427896,0.143650025627648,-43.0948792019874
