#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,2
#number of ports,2
#S-port 1,net1,50
#S-port 2,net2,50
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2))
#3,-15.2318838163623,58.6221605876893,-1.07911594219704,160.261135504161,-1.07911594219704,160.261135504162,-15.3044318627358,79.8577166516446
#3,-17.6127945819756,71.9285865364849,-1.00020023218441,157.97085011192,-1.00020023218441,157.97085011192,-17.6016301177297,63.544959159103
3,-19.971055109321,57.7299033853279,-0.923561824530293,158.118870675422,-0.923561824530289,158.118870675422,-20.0150075255709,75.6578680028976
#4,-0.54323944565097,-42.5603856389095,-41.0376613732288,-146.010549701994,-41.0376613732288,-146.010549701994,-0.497682651795217,-44.616409301146
#4,-0.381831014369314,-52.0746594533839,-40.4594319381295,-144.723045922581,-40.4594319381295,-144.723045922581,-0.367049299918055,-50.9087512639193
#4,-0.359077067481107,-54.4158914761753,-40.686634555633,-146.691465370978,-40.686634555633,-146.691465370978,-0.342532207447941,-54.0891669445185
#4,-0.306212289436169,-56.1156405736377,-40.6148306099952,-147.383600840154,-40.6148306099952,-147.383600840154,-0.317209483048129,-53.9222255068569
4,-0.291682781672229,-54.5821693287324,-40.4920755954927,-146.530000068538,-40.4920755954927,-146.530000068538,-0.297915744018614,-54.090099316346
