"X","Y","Z","attribute"
0.01851,-0.00213,0,6
0.01891,-0.00193,0,6
0.0181138,-0.00193,0,6
0.0169508,-0.00213,0,6
0.0173175,-0.00193,0,6
0.0165213,-0.00193,0,6
0.0169508,-0.00213,0,6
0.01851,-0.00213,0,6
0.0173175,-0.00193,0,6
0.0202521,-0.00245196,-0.000813,6
0.0215975,-0.001585,-0.000813,6
0.0215975,-0.00317,-0.000813,6
0.0215975,-0.00317,-0.000813,6
0.0215975,-0.001585,-0.000813,6
0.0215975,-0.0023775,-0.0004065,6
0.0215975,-0.0039625,-0.0004065,6
0.0215975,-0.004755,-0.000813,6
0.0215975,-0.0039625,-0.000813,6
0.0215975,-0.0039625,-0.000813,6
0.0202858,-0.00396426,-0.000813,6
0.0209416,-0.00356713,-0.000813,6
0.0184648,-0.00951,-0.000813,6
0.0200311,-0.00951,-0.000813,6
0.019248,-0.00951,-0.0004065,6
0.0192086,-0.00803014,-0.000813,6
0.0200311,-0.00951,-0.000813,6
0.0184648,-0.00951,-0.000813,6
0.0215975,-0.00634,-0.000813,6
0.0215975,-0.007925,-0.000813,6
0.0203701,-0.00711544,-0.000813,6
0.0215975,-0.007925,-0.000813,6
0.0215975,-0.00634,-0.000813,6
0.0215975,-0.0071325,-0.0004065,6
0.0200311,-0.00951,-2.22093e-16,6
0.0184648,-0.00951,-2.22141e-16,6
0.019248,-0.00951,-0.0004065,6
0.0215975,-0.00634,0,6
0.0215975,-0.007925,0,6
0.0215975,-0.0071325,-0.0004065,6
0.0215975,-0.004755,-0.000813,6
0.0215975,-0.00634,-0.000813,6
0.0203155,-0.00554479,-0.000813,6
0.0215975,-0.00634,-0.000813,6
0.0215975,-0.004755,-0.000813,6
0.0215975,-0.0055475,-0.0004065,6
0.0168984,-0.00951,-0.000813,6
0.0184648,-0.00951,-0.000813,6
0.0176816,-0.00951,-0.0004065,6
0.0184648,-0.00951,-0.000813,6
0.0168984,-0.00951,-0.000813,6
0.017655,-0.00824264,-0.000813,6
0.0184648,-0.00951,-2.22141e-16,6
0.0168984,-0.00951,-2.22188e-16,6
0.0176816,-0.00951,-0.0004065,6
0.0215975,-0.00951,-0.000813,6
0.020439,-0.00834659,-0.000813,6
0.0215975,-0.007925,-0.000813,6
0.0215975,-0.00951,-0.000813,6
0.0215975,-0.007925,-0.000813,6
0.0215975,-0.0087175,-0.0004065,6
