#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,3
#number of ports,2
#S-port 1,net1,50
#S-port 2,net2,50
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2))
2.5,-36.5975749991656,-91.2513307525379,-0.566101311641563,-68.3396661687877,-0.566101311641561,-68.3396661687877,-32.1000342942741,-82.6611151181972
#3,-15.2318838198618,58.6221605836357,-1.07911594170725,160.261135505382,-1.07911594170725,160.261135505382,-15.3044318652166,79.8577166420161
#3,-17.6127945833023,71.9285865229611,-1.00020023241119,157.970850111266,-1.00020023241118,157.970850111266,-17.6016301138979,63.5449591686838
3,-19.9710551119529,57.729903340101,-0.923561825867346,158.118870675228,-0.923561825867343,158.118870675228,-20.0150075228095,75.6578679881888
#4,-0.543239431135411,-42.5603856280821,-41.0376613812231,-146.010549682165,-41.0376613812231,-146.010549682165,-0.497682696186938,-44.6164093633602
#4,-0.381831014371101,-52.0746594530077,-40.4594319384362,-144.723045922906,-40.4594319384362,-144.723045922906,-0.367049299909208,-50.9087512659757
#4,-0.35907706747254,-54.4158914772383,-40.6866345549648,-146.691465370883,-40.6866345549648,-146.691465370883,-0.342532207453174,-54.0891669427895
#4,-0.306212289426858,-56.1156405740605,-40.6148306096681,-147.383600839532,-40.6148306096681,-147.383600839532,-0.317209483050433,-53.9222255056235
4,-0.291682781675824,-54.582169327466,-40.4920755968682,-146.530000070034,-40.4920755968682,-146.530000070034,-0.297915744008354,-54.0900993174571
