#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,3
#number of ports,1
#S-port 1,net1,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1))
#9,-1.06076021320862e-14,159.245689668898
#9,-2.9894151463152e-14,159.245555386827
#9,-3.37514613293651e-14,159.245604073855
9,-1.92865493310657e-15,159.2462915133
#9.999999999,-8.00391797239232e-14,-7.14041717877739
#9.999999999,-9.64327466553287e-16,-7.13772789164903
#9.999999999,0,-7.1360136645311
#9.999999999,0,-7.13614114143776
#9.999999999,0,-7.13627788601918
#9.999999999,-9.64327466553287e-16,-7.13629541000632
9.999999999,-1.58149704514741e-13,-7.12021577050988
#11,-9.64327466553287e-16,-161.059162982572
#11,0,-161.060411889896
#11,-1.92865493310657e-15,-161.061971166697
11,-5.78596479931972e-15,-161.061992844484
